Position,Team,Played,TSR,SoTR,Shoot %,Save %,PDO,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Barcelona,6,72.19,68,33.33,70.83,104.17,4,1,1,17,7,10,13,51,8,1,109,51
2,Real Madrid,6,63.58,60,36.36,72.73,109.09,4,1,1,12,6,6,13,56,13,0,103,33
3,Ath Madrid,6,50.74,57.5,34.78,76.47,111.25,3,2,1,8,4,4,11,57,13,1,69,23
4,Alaves,6,41.18,38.6,40.91,82.86,123.77,3,2,1,9,6,3,11,81,17,0,63,22
5,Sevilla,6,51.91,50,44.83,79.31,124.14,3,1,2,13,6,7,10,89,16,1,95,29
6,Espanol,6,51.83,64.41,15.79,80.95,96.74,3,1,2,6,4,2,10,84,11,0,85,38
7,Celta,6,52.17,53.57,36.67,65.38,102.05,2,3,1,11,9,2,9,60,18,1,84,30
8,Betis,6,60.14,63.27,12.9,72.22,85.13,2,3,1,4,5,-1,9,76,12,0,86,31
9,Villarreal,6,50.31,57.78,19.23,84.21,103.44,2,2,2,5,3,2,8,80,15,0,82,26
10,Sociedad,6,40.46,45.28,37.5,68.97,106.47,2,2,2,9,9,0,8,76,15,2,53,24
11,Getafe,6,47.5,58.82,25,64.29,89.29,2,2,2,5,5,0,8,119,21,1,57,20
12,Girona,6,40.91,41.94,26.92,75,101.92,2,2,2,7,9,-2,8,93,12,0,63,26
13,Eibar,6,56.56,34.88,33.33,75,108.33,2,1,3,5,7,-2,7,86,10,0,69,15
14,Valladolid,6,49.62,52.17,20.83,72.73,93.56,1,3,2,5,6,-1,6,84,9,0,65,24
15,Ath Bilbao,5,46.21,46.15,38.89,57.14,96.03,1,3,1,7,9,-2,6,70,20,1,61,18
16,Valencia,6,54.14,45.83,18.18,76.92,95.1,0,5,1,4,6,-2,5,84,13,1,85,22
17,Levante,6,38.81,41.03,28.13,71.74,99.86,1,1,4,9,13,-4,4,66,15,2,78,32
18,Leganes,6,48.23,41.18,28.57,63.33,91.9,1,1,4,6,11,-5,4,84,16,0,68,21
19,Vallecano,5,48.85,38.64,29.41,55.56,84.97,1,1,3,5,12,-7,4,64,7,1,64,17
20,Huesca,6,36.88,38.89,28.57,51.52,80.09,1,1,4,6,16,-10,4,88,14,0,59,21
