Position,Team,Played,W,D,L,Pts,Fl,Y,R,Sh,ShT,TSR,SoTR,Shoot %,Save %,PDO
1,Juventus,6,6,0,0,18,60,12,1,106,53,72.6,72.6,24.53,80,104.53
2,Napoli,6,5,0,1,15,75,10,0,96,46,70.59,70.77,26.09,63.16,89.24
3,Sassuolo,6,4,1,1,13,89,14,1,69,40,48.94,51.28,35,78.95,113.95
4,Lazio,6,4,0,2,12,69,13,0,71,35,54.2,51.47,25.71,81.82,107.53
5,Fiorentina,6,3,1,2,10,82,14,0,79,44,60.31,70.97,27.27,72.22,99.49
6,Inter,6,3,1,2,10,79,9,0,79,33,60.31,51.56,24.24,83.87,108.11
7,Genoa,5,3,0,2,9,65,14,0,50,26,48.08,48.15,34.62,64.29,98.9
8,Spal,6,3,0,3,9,81,15,0,57,23,49.14,48.94,17.39,75,92.39
9,Sampdoria,6,2,2,2,8,86,15,0,53,28,43.44,49.12,32.14,89.66,121.8
10,Roma,6,2,2,2,8,65,11,0,96,58,58.54,63.04,18.97,73.53,92.49
11,Udinese,6,2,2,2,8,67,9,0,59,28,51.75,53.85,25,75,100
12,Parma,6,2,1,3,7,77,12,0,44,27,29.73,38.57,22.22,81.4,103.62
13,Atalanta,6,1,3,2,6,76,11,0,78,41,56.12,58.57,21.95,72.41,94.37
14,Milan,5,1,3,1,6,46,7,0,66,39,56.41,56.52,20.51,73.33,93.85
15,Torino,6,1,3,2,6,81,9,0,49,26,43.36,41.27,19.23,81.08,100.31
16,Cagliari,6,1,3,2,6,86,12,0,54,23,45.38,39.66,17.39,80,97.39
17,Empoli,6,1,2,3,5,79,14,1,63,33,42.57,42.86,15.15,84.09,99.24
18,Bologna,6,1,1,4,4,75,16,2,45,15,37.19,27.78,13.33,82.05,95.38
19,Chievo,6,0,2,4,2,75,12,0,51,21,36.43,29.17,23.81,70.59,94.4
20,Frosinone,6,0,1,5,1,69,13,0,40,18,31.01,26.09,0,68.63,68.63
